Year,Commodity Code,Crop Name,County Code,County,Harvested Acres,Yield,Production,Price P/U,Unit,Value,,,,,
2021,268099,Almond Hulls,107,Tulare,,,174000,125,Tons,21750000,,,,,
2021,268099,Almond Hulls,113,Yolo,,,44100,110,Tons,4851000,,,,,
2021,268099,Almond Hulls,115,Yuba,,,,,,184000,,,,,
2021,268099,Almond Hulls,998,Sum of Others,,,,,,4216000,,,,,
2021,268099,Almond Hulls,999,State Total,,,2499200,130.51,Tons,330560000,,,,,
2021,261999,"Almonds, All",7,Butte,37200,0.9,33600,3445.06,Tons,115754000,,,,,
2021,261999,"Almonds, All",11,Colusa,67700,0.82,55500,3922.79,Tons,217715000,,,,,
2021,261999,"Almonds, All",19,Fresno,287000,1.27,364000,3736,Tons,1359904000,,,,,
2021,261999,"Almonds, All",21,Glenn,64500,0.99,63800,3601.21,Tons,229757000,,,,,
2021,261999,"Almonds, All",29,Kern,231000,1.13,260000,4356.86,Tons,1132783000,,,,,
2021,261999,"Almonds, All",31,Kings,37100,1.2,44600,4007.85,Tons,178750000,,,,,
2021,261999,"Almonds, All",39,Madera,160000,1.2,192000,3685,Tons,707520000,,,,,
2021,261999,"Almonds, All",47,Merced,121000,1.1,133000,3653.07,Tons,485858000,,,,,
2021,261999,"Almonds, All",61,Placer,4170,0.81,3380,3500,Tons,11830000,,,,,
2021,261999,"Almonds, All",67,Sacramento,1750,0.9,1580,4567.09,Tons,7216000,,,,,
2021,261999,"Almonds, All",77,San Joaquin,109000,1.16,126000,3601.3,Tons,453764000,,,,,
2021,261999,"Almonds, All",95,Solano,22400,0.88,19600,3628.72,Tons,71123000,,,,,
2021,261999,"Almonds, All",99,Stanislaus,227000,1.15,262000,3873.95,Tons,1014975000,,,,,
2021,261999,"Almonds, All",101,Sutter,18100,0.61,11000,3344.73,Tons,36792000,,,,,
2021,261999,"Almonds, All",103,Tehama,17900,0.97,17400,4480.8,Tons,77966000,,,,,
2021,261999,"Almonds, All",107,Tulare,89600,1.08,96800,3450,Tons,333960000,,,,,
2021,261999,"Almonds, All",113,Yolo,45100,0.85,38300,3580,Tons,137114000,,,,,
2021,261999,"Almonds, All",115,Yuba,2640,0.62,1640,4027.44,Tons,6605000,,,,,
2021,261999,"Almonds, All",998,Sum of Others,106,,,,,48400,,,,,
2021,261999,"Almonds, All",999,State Total,1543266,1.12,1724200,3815.91,Tons,6579434400,,,,,
2021,218899,"Fruits & Nuts, Unspecified",29,Kern,,,639000,102.76,Tons,65666000,,,,,
2021,218899,"Fruits & Nuts, Unspecified",31,Kings,,,22300,14.98,Tons,334000,,,,,
2021,218899,"Fruits & Nuts, Unspecified",77,San Joaquin,,,126000,4.24,Tons,534000,,,,,
2021,218899,"Fruits & Nuts, Unspecified",99,Stanislaus,,,262000,5.87,Tons,1537000,,,,,
2021,218899,"Fruits & Nuts, Unspecified",998,Sum of Others,,,,,,922000,,,,,
2021,218899,"Fruits & Nuts, Unspecified",999,State Total,,,1049300,64.87,Tons,68993000,,,,,
2021,473999,"Animal Fibers, Misc",103,Tehama,,,20600,2.15,Lbs,44200,,,,,
2021,473999,"Animal Fibers, Misc",998,Sum of Others,,,,,,5460,,,,,
2021,473999,"Animal Fibers, Misc",999,State Total,,,20600,2.15,Lbs,49660,,,,,
2021,472999,Wool,21,Glenn,,,28400,2.15,Lbs,61000,,,,,
2021,472999,Wool,27,Inyo,,,29700,1.76,Lbs,52200,,,,,
2021,472999,Wool,29,Kern,,,445000,2.15,Lbs,956000,,,,,
2021,472999,Wool,31,Kings,,,117000,2.37,Lbs,277000,,,,,
2021,472999,Wool,41,Marin,,,29700,0.98,Lbs,29000,,,,,
2021,472999,Wool,45,Mendocino,,,20000,1.05,Lbs,21000,,,,,
2021,472999,Wool,47,Merced,,,63300,2.16,Lbs,137000,,,,,
2021,472999,Wool,51,Mono,,,62000,1.76,Lbs,109000,,,,,
2021,472999,Wool,63,Plumas,,,1930,5,Lbs,9640,,,,,
2021,472999,Wool,77,San Joaquin,,,68000,2.19,Lbs,149000,,,,,
2021,472999,Wool,91,Sierra,,,2530,8.73,Lbs,22100,,,,,
2021,472999,Wool,93,Siskiyou,,,13100,1.95,Lbs,25500,,,,,
2021,472999,Wool,95,Solano,,,72700,2.1,Lbs,153000,,,,,
2021,472999,Wool,97,Sonoma,,,71500,0.51,Lbs,36500,,,,,
2021,472999,Wool,99,Stanislaus,,,20700,0.48,Lbs,10000,,,,,
2021,472999,Wool,998,Sum of Others,,,,,,736000,,,,,
2021,472999,Wool,999,State Total,,,1045560,1.96,Lbs,2783940,,,,,
2021,333999,Anise (Fennel),53,Monterey,676,18.79,12700,870,Tons,11049000,,,,,
2021,333999,Anise (Fennel),998,Sum of Others,128,,,,,5744000,,,,,
2021,333999,Anise (Fennel),999,State Total,804,18.79,12700,870,Tons,16793000,,,,,
2021,,"Apiary, All",7,Butte,,,,,,18804000,,,,,
2021,,"Apiary, All",9,Calaveras,,,,,,33000,,,,,
2021,,"Apiary, All",11,Colusa,,,,,,27262000,,,,,
2021,,"Apiary, All",13,Contra Costa,,,,,,1480000,,,,,
2021,,"Apiary, All",17,El Dorado,,,,,,1969000,,,,,
2021,,"Apiary, All",19,Fresno,,,,,,133585000,,,,,
2021,,"Apiary, All",27,Inyo,,,,,,214000,,,,,
2021,,"Apiary, All",29,Kern,,,,,,107363000,,,,,
2021,,"Apiary, All",31,Kings,,,,,,19622000,,,,,
2021,,"Apiary, All",39,Madera,,,,,,68616000,,,,,
2021,,"Apiary, All",43,Mariposa,,,,,,48200,,,,,
2021,,"Apiary, All",47,Merced,,,,,,49448000,,,,,
2021,,"Apiary, All",49,Modoc,,,,,,247000,,,,,
2021,,"Apiary, All",53,Monterey,,,,,,181000,,,,,
2021,,"Apiary, All",57,Nevada,,,,,,451000,,,,,
2021,,"Apiary, All",61,Placer,,,,,,325000,,,,,
2021,,"Apiary, All",63,Plumas,,,,,,20700,,,,,
2021,,"Apiary, All",65,Riverside,,,,,,5924000,,,,,
2021,,"Apiary, All",67,Sacramento,,,,,,590000,,,,,
2021,,"Apiary, All",71,San Bernardino,,,,,,5132000,,,,,
2021,,"Apiary, All",73,San Diego,,,,,,3741000,,,,,
2021,,"Apiary, All",77,San Joaquin,,,,,,54045000,,,,,
2021,,"Apiary, All",81,San Mateo,,,,,,418000,,,,,
2021,,"Apiary, All",83,Santa Barbara,,,,,,665000,,,,,
2021,,"Apiary, All",85,Santa Clara,,,,,,332000,,,,,
2021,,"Apiary, All",89,Shasta,,,,,,10304000,,,,,
2021,,"Apiary, All",91,Sierra,,,,,,9820,,,,,
2021,,"Apiary, All",95,Solano,,,,,,7551000,,,,,
2021,,"Apiary, All",97,Sonoma,,,,,,596000,,,,,
2021,,"Apiary, All",99,Stanislaus,,,,,,111811000,,,,,
2021,,"Apiary, All",101,Sutter,,,,,,8589000,,,,,
2021,,"Apiary, All",103,Tehama,,,,,,19977000,,,,,
2021,,"Apiary, All",107,Tulare,,,,,,79128000,,,,,
2021,,"Apiary, All",109,Tuolumne,,,,,,52600,,,,,
2021,,"Apiary, All",111,Ventura,,,,,,7913000,,,,,
2021,,"Apiary, All",113,Yolo,,,,,,22085000,,,,,
2021,,"Apiary, All",115,Yuba,,,,,,691000,,,,,
2021,,"Apiary, All",998,Sum of Others,,,,,,58477000,,,,,
2021,,"Apiary, All",999,State Total,,,,,,827700320,,,,,
2021,483999,"Apiary Prod, Bees, Packaged, Bulk",21,Glenn,,,120000,37.63,Lbs,4516000,,,,,
2021,483999,"Apiary Prod, Bees, Packaged, Bulk",47,Merced,,,52400,31.24,Lbs,1637000,,,,,
2021,483999,"Apiary Prod, Bees, Packaged, Bulk",998,Sum of Others,,,,,,138000,,,,,
2021,483999,"Apiary Prod, Bees, Packaged, Bulk",999,State Total,,,172400,35.69,Lbs,6291000,,,,,
2021,485999,"Apiary Products, Bees, Queen",11,Colusa,,,40000,25,Count,1E+06,,,,,
2021,485999,"Apiary Products, Bees, Queen",21,Glenn,,,380000,23.98,Count,9113000,,,,,
2021,485999,"Apiary Products, Bees, Queen",47,Merced,,,20200,19.75,Count,399000,,,,,
2021,485999,"Apiary Products, Bees, Queen",89,Shasta,,,258000,26.83,Count,6921000,,,,,
2021,485999,"Apiary Products, Bees, Queen",998,Sum of Others,,,,,,981000,,,,,
2021,485999,"Apiary Products, Bees, Queen",999,State Total,,,698200,24.97,Count,18414000,,,,,
2021,482999,"Apiary Products, Beeswax",19,Fresno,,,410000,4.05,Lbs,1661000,,,,,
2021,482999,"Apiary Products, Beeswax",29,Kern,,,544000,5.05,Lbs,2746000,,,,,
2021,482999,"Apiary Products, Beeswax",31,Kings,,,8250,3.25,Lbs,26800,,,,,
2021,482999,"Apiary Products, Beeswax",39,Madera,,,35000,3.26,Lbs,114000,,,,,
2021,482999,"Apiary Products, Beeswax",47,Merced,,,23000,2.44,Lbs,56000,,,,,
2021,482999,"Apiary Products, Beeswax",53,Monterey,,,339,4.69,Lbs,1590,,,,,
2021,482999,"Apiary Products, Beeswax",63,Plumas,,,82,4.26,Lbs,349,,,,,
2021,482999,"Apiary Products, Beeswax",65,Riverside,,,12100,3.1,Lbs,37500,,,,,
2021,482999,"Apiary Products, Beeswax",91,Sierra,,,22,4.36,Lbs,96,,,,,
2021,482999,"Apiary Products, Beeswax",99,Stanislaus,,,140000,3.19,Lbs,447000,,,,,
2021,482999,"Apiary Products, Beeswax",107,Tulare,,,83500,3.5,Lbs,292000,,,,,
2021,482999,"Apiary Products, Beeswax",111,Ventura,,,65800,4.07,Lbs,268000,,,,,
2021,482999,"Apiary Products, Beeswax",998,Sum of Others,,,,,,275000,,,,,
2021,482999,"Apiary Products, Beeswax",999,State Total,,,1322093,4.27,Lbs,5925335,,,,,
2021,481999,"Apiary Products, Honey",11,Colusa,,,55000,5,Lbs,275000,,,,,
2021,481999,"Apiary Products, Honey",19,Fresno,,,5192000,3.66,Lbs,19003000,,,,,
2021,481999,"Apiary Products, Honey",27,Inyo,,,51700,4.04,Lbs,209000,,,,,
2021,481999,"Apiary Products, Honey",29,Kern,,,4350000,2.4,Lbs,10440000,,,,,
2021,481999,"Apiary Products, Honey",31,Kings,,,606000,2.75,Lbs,1668000,,,,,
2021,481999,"Apiary Products, Honey",39,Madera,,,748000,2.35,Lbs,1758000,,,,,
2021,481999,"Apiary Products, Honey",47,Merced,,,1150000,2.4,Lbs,2760000,,,,,
2021,481999,"Apiary Products, Honey",53,Monterey,,,11300,2.71,Lbs,30600,,,,,
2021,481999,"Apiary Products, Honey",57,Nevada,,,25300,5.34,Lbs,135000,,,,,
2021,481999,"Apiary Products, Honey",63,Plumas,,,2260,9.03,Lbs,20400,,,,,
2021,481999,"Apiary Products, Honey",65,Riverside,,,569000,2,Lbs,1137000,,,,,
2021,481999,"Apiary Products, Honey",77,San Joaquin,,,4597000,2.95,Lbs,13561000,,,,,
2021,481999,"Apiary Products, Honey",81,San Mateo,,,38000,11,Lbs,418000,,,,,
2021,481999,"Apiary Products, Honey",89,Shasta,,,39100,2.35,Lbs,92000,,,,,
2021,481999,"Apiary Products, Honey",91,Sierra,,,1080,9,Lbs,9720,,,,,
2021,481999,"Apiary Products, Honey",99,Stanislaus,,,7084000,2.65,Lbs,18773000,,,,,
2021,481999,"Apiary Products, Honey",107,Tulare,,,16001000,2.49,Lbs,39772000,,,,,
2021,481999,"Apiary Products, Honey",111,Ventura,,,1092000,3.54,Lbs,3868000,,,,,
2021,481999,"Apiary Products, Honey",998,Sum of Others,,,,,,11193000,,,,,
2021,481999,"Apiary Products, Honey",999,State Total,,,41612740,2.74,Lbs,125122720,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",7,Butte,,,,,,3533000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",9,Calaveras,,,,,,33000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",11,Colusa,,,,,,1068000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",13,Contra Costa,,,,,,1480000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",17,El Dorado,,,,,,1969000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",27,Inyo,,,,,,5000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",29,Kern,,,,,,1E+05,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",43,Mariposa,,,,,,48200,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",49,Modoc,,,,,,247000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",57,Nevada,,,,,,316000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",61,Placer,,,,,,325000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",67,Sacramento,,,,,,590000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",71,San Bernardino,,,,,,5132000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",73,San Diego,,,,,,79000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",77,San Joaquin,,,,,,843000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",83,Santa Barbara,,,,,,665000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",85,Santa Clara,,,,,,332000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",89,Shasta,,,,,,1520000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",95,Solano,,,,,,937000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",97,Sonoma,,,,,,596000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",99,Stanislaus,,,,,,1108000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",103,Tehama,,,,,,12613000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",109,Tuolumne,,,,,,52600,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",113,Yolo,,,,,,22085000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",998,Sum of Others,,,,,,724000,,,,,
2021,489999,"Apiary Products, Bees, Unspecified",999,State Total,,,,,,56400800,,,,,
2021,486999,"Apiary Products, Pollination Fees",7,Butte,,,,,,15271000,,,,,
2021,486999,"Apiary Products, Pollination Fees",11,Colusa,,,135000,184.58,Colonies,24919000,,,,,
2021,486999,"Apiary Products, Pollination Fees",19,Fresno,,,,,,112921000,,,,,
2021,486999,"Apiary Products, Pollination Fees",21,Glenn,,,,,,29832000,,,,,
2021,486999,"Apiary Products, Pollination Fees",25,Imperial,,,30700,75.41,Colonies,2315000,,,,,
2021,486999,"Apiary Products, Pollination Fees",29,Kern,,,483000,194.78,Colonies,94077000,,,,,
2021,486999,"Apiary Products, Pollination Fees",31,Kings,,,94200,190.32,Colonies,17928000,,,,,
2021,486999,"Apiary Products, Pollination Fees",39,Madera,,,324000,206,Colonies,66744000,,,,,
2021,486999,"Apiary Products, Pollination Fees",47,Merced,,,224000,199.09,Colonies,44596000,,,,,
2021,486999,"Apiary Products, Pollination Fees",53,Monterey,,,2340,63.67,Colonies,149000,,,,,
2021,486999,"Apiary Products, Pollination Fees",65,Riverside,,,25000,190,Colonies,4750000,,,,,
2021,486999,"Apiary Products, Pollination Fees",73,San Diego,,,,,,3662000,,,,,
2021,486999,"Apiary Products, Pollination Fees",77,San Joaquin,,,208000,190.58,Colonies,39641000,,,,,
2021,486999,"Apiary Products, Pollination Fees",89,Shasta,,,8630,205.21,Colonies,1771000,,,,,
2021,486999,"Apiary Products, Pollination Fees",95,Solano,,,39000,169.59,Colonies,6614000,,,,,
2021,486999,"Apiary Products, Pollination Fees",99,Stanislaus,,,453000,201.95,Colonies,91483000,,,,,
2021,486999,"Apiary Products, Pollination Fees",101,Sutter,,,69700,106.01,Colonies,7389000,,,,,
2021,486999,"Apiary Products, Pollination Fees",103,Tehama,,,37000,199.03,Colonies,7364000,,,,,
2021,486999,"Apiary Products, Pollination Fees",107,Tulare,,,251000,155.63,Colonies,39064000,,,,,
2021,486999,"Apiary Products, Pollination Fees",111,Ventura,,,,,,3777000,,,,,
2021,486999,"Apiary Products, Pollination Fees",115,Yuba,,,11600,59.57,Colonies,691000,,,,,
2021,486999,"Apiary Products, Pollination Fees",998,Sum of Others,,,,,,589000,,,,,
2021,486999,"Apiary Products, Pollination Fees",999,State Total,,,2396170,187.59,NA,615547000,,,,,
2021,211999,"Apples, All",17,El Dorado,831,,,,,31006000,,,,,
2021,211999,"Apples, All",45,Mendocino,216,1.1,237,691.98,Tons,164000,,,,,
2021,211999,"Apples, All",61,Placer,48,0.48,23,3365.22,Tons,77400,,,,,
2021,211999,"Apples, All",65,Riverside,22,2.64,58,1913.79,Tons,111000,,,,,
2021,211999,"Apples, All",69,San Benito,330,21.61,7130,213.88,Tons,1525000,,,,,
2021,211999,"Apples, All",71,San Bernardino,255,1.26,321,5869.16,Tons,1884000,,,,,
2021,211999,"Apples, All",73,San Diego,133,1.62,215,2372.09,NA,510000,,,,,
2021,211999,"Apples, All",77,San Joaquin,1730,23.87,41300,347.6,Tons,14356000,,,,,
2021,211999,"Apples, All",87,Santa Cruz,2010,14.83,29800,368.09,Tons,10969000,,,,,
2021,211999,"Apples, All",93,Siskiyou,26,,,,,38000,,,,,
2021,211999,"Apples, All",97,Sonoma,2140,3.08,6580,451.22,Tons,2969000,,,,,
2021,211999,"Apples, All",998,Sum of Others,800,,,,,6528000,,,,,
2021,211999,"Apples, All",999,State Total,8541,12.44,85664,380.15,NA,70137400,,,,,
2021,217999,"Apricots, All",13,Contra Costa,169,2.8,473,3369.98,Tons,1594000,,,,,
2021,217999,"Apricots, All",19,Fresno,1320,5.47,7220,1168.01,Tons,8433000,,,,,
2021,217999,"Apricots, All",31,Kings,513,12.71,6520,1440.03,Tons,9389000,,,,,
2021,217999,"Apricots, All",65,Riverside,12,2.42,29,1989.65,Tons,57700,,,,,
2021,217999,"Apricots, All",69,San Benito,545,3.47,1890,788.36,Tons,1490000,,,,,
2021,217999,"Apricots, All",77,San Joaquin,591,4.5,2660,971.8,Tons,2585000,,,,,
2021,217999,"Apricots, All",85,Santa Clara,95,2.2,209,1794.26,Tons,375000,,,,,
2021,217999,"Apricots, All",99,Stanislaus,2130,,,,,16283000,,,,,
2021,217999,"Apricots, All",107,Tulare,968,9.73,9420,2280.04,Tons,21478000,,,,,
2021,217999,"Apricots, All",998,Sum of Others,243,,,,,1684000,,,,,
2021,217999,"Apricots, All",999,State Total,6586,6.75,28421,1597.47,Tons,63368700,,,,,
2021,,"Aquaculture, All",25,Imperial,,,,,,22172000,,,,,
2021,,"Aquaculture, All",41,Marin,,,,,,8208000,,,,,
2021,,"Aquaculture, All",65,Riverside,,,,,,4873000,,,,,
2021,,"Aquaculture, All",67,Sacramento,,,,,,18524000,,,,,
2021,,"Aquaculture, All",998,Sum of Others,,,,,,6859000,,,,,
2021,,"Aquaculture, All",999,State Total,,,,,,60636000,,,,,
2021,478894,Fish & Fishbait,65,Riverside,,,,,,421000,,,,,
2021,478894,Fish & Fishbait,999,State Total,,,,,,421000,,,,,
2021,478899,Fish & Fishbait,25,Imperial,,,,,,22172000,,,,,
2021,478899,Fish & Fishbait,41,Marin,,,,,,8208000,,,,,
2021,478899,Fish & Fishbait,65,Riverside,,,,,,4452000,,,,,
2021,478899,Fish & Fishbait,67,Sacramento,,,,,,18524000,,,,,
2021,478899,Fish & Fishbait,998,Sum of Others,,,,,,6859000,,,,,
2021,478899,Fish & Fishbait,999,State Total,,,,,,60215000,,,,,
2021,301999,Artichokes,53,Monterey,3400,9.23,31400,1370,Tons,43018000,,,,,
