NAME,crop,year,AW,Total_Land,TW,Adjusted Price,Adjusted Total Production Value,Adjusted Gross Revenue
Alameda,Citrus & Subtropical,2015,2.19,119.0,260.61,,,
Alameda,Citrus & Subtropical,2016,2.55,174.0,444.08,,,
Alameda,Citrus & Subtropical,2017,2.15,197.68,425.67,,,
Alameda,Citrus & Subtropical,2018,2.55,204.06,519.84,,,
Alameda,Citrus & Subtropical,2019,2.5,202.11,505.1,,,
Alameda,Citrus & Subtropical,2020,2.48,176.94,439.17,,,
Alameda,Corn,1998,2.35,1000.0,2349.8,,,
Alameda,Corn,1999,3.0,1100.0,3296.8,,,
Alameda,Corn,2000,2.86,1000.0,2862.0,,,
Alameda,Corn,2001,3.1,900.0,2785.8,,,
Alameda,Corn,2002,2.8,746.0,2088.85,,,
Alameda,Corn,2003,2.55,565.0,1441.97,,,
Alameda,Corn,2004,2.7,476.0,1287.22,,,
Alameda,Corn,2005,2.74,39.0,106.74,,,
Alameda,Corn,2006,2.54,210.0,532.54,,,
Alameda,Corn,2007,2.98,223.0,665.33,,,
Alameda,Corn,2008,3.19,84.0,267.78,,,
Alameda,Corn,2009,2.62,222.0,582.72,,,
Alameda,Corn,2016,3.59,28.0,100.52,,,
Alameda,Corn,2017,2.94,209.95,617.25,,,
Alameda,Corn,2018,2.86,258.59,739.57,,,
Alameda,Corn,2019,2.58,251.34,648.46,,,
Alameda,Corn,2020,2.45,71.3,174.69,,,
Alameda,Cucurbits,1998,1.43,100.0,142.9,,,
Alameda,Cucurbits,1999,1.69,100.0,168.8,,,
Alameda,Cucurbits,2001,1.69,100.0,168.8,,,
Alameda,Cucurbits,2002,1.47,55.0,80.92,,,
Alameda,Cucurbits,2003,1.4,48.0,67.28,,,
Alameda,Cucurbits,2004,1.44,83.0,119.91,,,
Alameda,Cucurbits,2005,1.48,43.0,63.54,,,
Alameda,Dry Beans,1998,1.85,200.0,370.4,,,
Alameda,Dry Beans,1999,2.1,200.0,419.8,,,
Alameda,Dry Beans,2000,2.1,200.0,419.8,,,
Alameda,Dry Beans,2001,2.22,200.0,444.4,,,
Alameda,Dry Beans,2002,2.22,167.0,371.24,,,
Alameda,Dry Beans,2003,1.99,126.0,250.49,,,
Alameda,Dry Beans,2004,2.2,106.0,233.52,,,
Alameda,Grain,1998,0.26,600.0,157.0,133.31,0.25921,110.65
Alameda,Grain,1999,0.65,200.0,129.5,,,
Alameda,Grain,2000,0.78,200.0,156.9,,,
Alameda,Grain,2001,0.93,200.0,186.8,,,
Alameda,Grain,2002,0.89,149.0,132.73,,,
Alameda,Grain,2003,0.78,113.0,88.21,,,
Alameda,Grain,2004,0.94,94.0,88.03,,,
Alameda,Grain,2005,0.67,7.0,4.67,,,
Alameda,Grain,2006,1.04,351.0,365.25,,,
Alameda,Grain,2007,1.78,344.0,611.99,,,
Alameda,Grain,2008,1.57,351.0,552.52,,,
Alameda,Grain,2009,1.1,351.0,387.12,,,
Alameda,Grain,2010,1.23,588.0,721.28,,,
Alameda,Grain,2016,0.65,729.0,475.17,,,
Alameda,Grain,2017,0.35,2543.4,880.64,,,
Alameda,Grain,2018,0.5,3181.31,1603.13,,,
Alameda,Grain,2019,0.24,2021.42,481.58,,,
Alameda,Grain,2020,0.68,1634.49,1110.29,,,
Alameda,Multi-Crops,1998,0.0,200.0,0.0,,,
Alameda,Multi-Crops,1999,0.0,100.0,0.0,,,
Alameda,Multi-Crops,2000,0.0,100.0,0.0,,,
Alameda,Multi-Crops,2001,0.0,100.0,0.0,,,
Alameda,Multi-Crops,2002,0.0,57.0,0.0,,,
Alameda,Multi-Crops,2003,0.0,43.0,0.0,,,
Alameda,Multi-Crops,2018,0.0,517.17,0.0,,,
Alameda,Multi-Crops,2019,0.0,786.77,0.0,,,
Alameda,Multi-Crops,2020,0.0,142.61,0.0,,,
Alameda,Other Deciduous,1998,2.87,500.0,1435.2,0.0,0.06073,0.0
Alameda,Other Deciduous,1999,3.82,400.0,1529.5,0.0,0.03528,0.0
Alameda,Other Deciduous,2000,4.12,200.0,823.6,0.0,0.02759,0.0
Alameda,Other Deciduous,2001,3.97,300.0,1191.2,0.0,0.01724,0.0
Alameda,Other Deciduous,2002,4.21,342.0,1438.99,0.0,0.02141,0.0
Alameda,Other Deciduous,2003,3.8,342.0,1298.13,0.0,0.01415,0.0
Alameda,Other Deciduous,2004,4.29,342.0,1467.1,,,
Alameda,Other Deciduous,2005,4.22,6.0,25.34,0.0,0.03915,0.0
Alameda,Other Deciduous,2010,4.09,35.0,143.12,0.0,0.75095,0.0
Alameda,Other Deciduous,2011,2.46,106.0,260.92,0.0,0.16308,0.0
Alameda,Other Deciduous,2012,2.41,165.0,397.54,0.0,0.6283,0.0
Alameda,Other Deciduous,2013,2.82,175.0,492.92,0.0,0.20012,0.0
Alameda,Other Deciduous,2014,2.68,96.0,257.61,0.0,0.82525,0.0
Alameda,Other Deciduous,2015,2.83,71.0,200.73,0.0,0.23168,0.0
Alameda,Other Deciduous,2016,3.2,56.0,179.45,0.0,0.9518,0.0
Alameda,Other Deciduous,2017,2.51,547.79,1374.08,0.0,0.58794,0.0
Alameda,Other Deciduous,2018,3.12,53.44,166.73,0.0,2.41361,0.0
Alameda,Other Deciduous,2019,2.44,797.67,1947.37,0.0,2.38446,0.0
Alameda,Other Deciduous,2020,2.66,175.86,468.04,0.0,6.64139,0.0
Alameda,Other Field Crops,1998,1.99,800.0,1588.4,,,
Alameda,Other Field Crops,1999,2.72,100.0,271.6,,,
Alameda,Other Field Crops,2000,2.59,100.0,259.3,,,
Alameda,Other Field Crops,2001,2.96,100.0,296.3,,,
Alameda,Other Field Crops,2005,2.48,18.0,44.64,,,
Alameda,Other Field Crops,2016,3.38,1390.0,4699.02,,,
Alameda,Pasture,1998,4.16,800.0,3326.0,,,
Alameda,Pasture,1999,5.05,800.0,4043.1,,,
Alameda,Pasture,2000,5.09,700.0,3563.2,,,
Alameda,Pasture,2001,5.74,700.0,4018.9,,,
Alameda,Pasture,2002,5.45,742.0,4043.18,,,
Alameda,Pasture,2003,5.16,742.0,3832.03,,,
Alameda,Pasture,2004,5.57,742.0,4132.4,,,
Alameda,Pasture,2005,4.89,322.0,1575.04,,,
Alameda,Pasture,2006,3.86,291.0,1124.1,,,
Alameda,Pasture,2007,4.85,291.0,1411.81,,,
Alameda,Pasture,2008,4.93,291.0,1433.35,,,
Alameda,Pasture,2009,4.13,291.0,1201.37,,,
Alameda,Pasture,2010,4.15,1912.0,7936.48,,,
Alameda,Pasture,2011,3.04,973.0,2957.92,,,
Alameda,Pasture,2012,3.69,530.0,1955.7,,,
Alameda,Pasture,2013,4.05,995.0,4029.75,,,
Alameda,Pasture,2014,3.98,378.0,1504.44,,,
Alameda,Pasture,2015,4.1,581.0,2382.1,,,
Alameda,Pasture,2016,4.29,54.0,231.48,,,
Alameda,Pasture,2017,3.62,163.56,592.59,,,
Alameda,Pasture,2018,4.27,189.56,808.96,,,
Alameda,Pasture,2019,3.69,1253.19,4626.9,,,
Alameda,Pasture,2020,4.2,13.1,55.02,,,
Alameda,Safflower,1998,0.48,100.0,48.2,,,
Alameda,Safflower,1999,0.96,100.0,96.4,,,
Alameda,Safflower,2000,0.84,100.0,84.3,,,
Alameda,Safflower,2001,0.96,100.0,96.4,,,
Alameda,Safflower,2002,1.51,88.0,132.62,,,
Alameda,Safflower,2003,1.44,67.0,96.35,,,
Alameda,Safflower,2004,1.68,56.0,93.97,,,
Alameda,Sugar Beets,2002,4.04,79.0,319.0,,,
Alameda,Sugar Beets,2003,3.55,60.0,212.94,,,
Alameda,Sugar Beets,2004,4.1,50.0,204.95,,,
Alameda,Truck Crops,1998,1.35,500.0,673.0,0.0,1.60858,0.0
Alameda,Truck Crops,1999,1.62,500.0,809.1,0.0,1.3919,0.0
Alameda,Truck Crops,2000,1.81,400.0,724.6,0.0,1.39092,0.0
Alameda,Truck Crops,2001,1.75,400.0,701.0,0.0,1.40068,0.0
Alameda,Truck Crops,2002,3.23,376.0,1214.89,0.0,1.23487,0.0
Alameda,Truck Crops,2003,3.07,365.0,1119.08,0.0,0.63798,0.0
Alameda,Truck Crops,2004,3.27,415.0,1357.52,,,
Alameda,Truck Crops,2005,3.09,372.0,1151.07,0.0,0.94145,0.0
Alameda,Truck Crops,2006,2.99,356.0,1065.12,0.0,1.60074,0.0
Alameda,Truck Crops,2007,3.76,445.0,1673.25,0.0,0.8054,0.0
Alameda,Truck Crops,2008,3.87,298.0,1153.87,0.0,0.97945,0.0
Alameda,Truck Crops,2009,3.28,351.0,1151.5,0.0,1.10373,0.0
Alameda,Truck Crops,2010,3.32,368.0,1222.64,0.0,1.17148,0.0
Alameda,Truck Crops,2011,2.31,313.0,723.03,0.0,1.00802,0.0
Alameda,Truck Crops,2012,2.36,302.0,713.06,0.0,1.20457,0.0
Alameda,Truck Crops,2013,2.55,271.0,691.88,0.0,1.28377,0.0
Alameda,Truck Crops,2014,2.59,298.0,772.26,0.0,1.51462,0.0
Alameda,Truck Crops,2015,2.49,290.0,722.04,0.0,1.58067,0.0
Alameda,Truck Crops,2016,3.46,199.0,687.73,0.0,1.30038,0.0
Alameda,Truck Crops,2017,2.18,191.86,418.4,0.0,1.32226,0.0
Alameda,Truck Crops,2018,2.16,220.65,475.65,0.0,1.07952,0.0
Alameda,Truck Crops,2019,3.39,104.17,352.65,0.0,1.06648,0.0
Alameda,Truck Crops,2020,2.62,164.99,433.02,,,
Alameda,Vineyard,1998,1.47,3800.0,5575.0,,,
Alameda,Vineyard,1999,1.97,3300.0,6512.5,,,
Alameda,Vineyard,2000,1.85,4300.0,7937.5,,,
Alameda,Vineyard,2001,2.2,4900.0,10775.0,,,
Alameda,Vineyard,2002,1.53,3671.0,5634.48,,,
Alameda,Vineyard,2003,1.22,3718.0,4533.82,,,
Alameda,Vineyard,2004,1.59,4112.0,6545.17,,,
Alameda,Vineyard,2005,1.13,3530.0,3990.64,,,
Alameda,Vineyard,2006,1.16,3117.0,3602.31,,,
Alameda,Vineyard,2007,1.78,3117.0,5541.01,,,
Alameda,Vineyard,2008,1.7,3452.0,5863.61,,,
Alameda,Vineyard,2009,1.36,3294.0,4489.43,,,
Alameda,Vineyard,2010,1.32,3056.0,4043.33,,,
Alameda,Vineyard,2011,1.47,2646.0,3881.16,,,
Alameda,Vineyard,2012,2.27,2941.0,6669.91,,,
Alameda,Vineyard,2013,1.69,2797.0,4735.33,,,
Alameda,Vineyard,2014,1.87,2420.0,4520.64,,,
Alameda,Vineyard,2015,1.8,2398.0,4322.88,,,
Alameda,Vineyard,2016,2.74,2953.0,8080.44,,,
Alameda,Vineyard,2017,2.59,2925.7,7575.07,,,
Alameda,Vineyard,2018,2.54,2965.18,7530.82,,,
Alameda,Vineyard,2019,2.23,2993.9,6676.35,,,
Alameda,Vineyard,2020,2.84,2836.62,8051.29,,,
Alpine,Alfalfa,1998,3.97,200.0,793.2,,,
Alpine,Alfalfa,1999,4.14,200.0,827.6,,,
Alpine,Alfalfa,2000,4.83,200.0,965.6,,,
Alpine,Alfalfa,2001,4.66,200.0,931.0,,,
Alpine,Alfalfa,2002,4.78,156.0,745.99,,,
Alpine,Alfalfa,2003,4.41,156.0,688.12,,,
Alpine,Alfalfa,2004,4.62,156.0,720.72,,,
Alpine,Alfalfa,2005,4.04,156.0,630.86,,,
Alpine,Alfalfa,2006,3.91,156.0,610.12,,,
Alpine,Alfalfa,2007,4.48,156.0,698.72,,,
Alpine,Alfalfa,2008,4.24,156.0,660.66,,,
Alpine,Alfalfa,2009,4.31,156.0,671.89,,,
Alpine,Alfalfa,2010,3.98,156.0,620.72,,,
Alpine,Alfalfa,2011,2.3,137.0,315.1,,,
Alpine,Alfalfa,2012,2.91,168.0,488.88,,,
Alpine,Alfalfa,2013,3.08,224.0,689.92,,,
Alpine,Alfalfa,2014,2.94,281.0,826.14,,,
Alpine,Alfalfa,2015,2.88,281.0,809.28,,,
Alpine,Alfalfa,2017,2.98,68.85,205.17,,,
Alpine,Alfalfa,2018,3.45,68.85,237.53,,,
Alpine,Alfalfa,2019,3.21,68.85,221.01,,,
Alpine,Alfalfa,2020,3.72,68.85,256.12,,,
Alpine,Other Deciduous,2017,2.55,2.03,5.18,,,
Alpine,Other Deciduous,2020,3.08,2.03,6.25,,,
Alpine,Pasture,1998,4.39,3800.0,16666.8,,,
Alpine,Pasture,1999,4.56,3800.0,17331.8,,,
Alpine,Pasture,2000,5.26,3800.0,19999.4,,,
Alpine,Pasture,2001,5.09,3800.0,19334.4,,,
Alpine,Pasture,2002,5.02,3823.0,19206.75,,,
Alpine,Pasture,2003,4.6,3823.0,17570.51,,,
Alpine,Pasture,2004,4.86,3823.0,18579.78,0.0,0.16437,0.0
Alpine,Pasture,2005,4.24,3823.0,16224.81,0.0,0.18953,0.0
Alpine,Pasture,2006,4.13,3823.0,15777.52,0.0,0.19412,0.0
Alpine,Pasture,2007,4.73,3823.0,18094.26,0.0,0.1915,0.0
Alpine,Pasture,2008,4.44,3823.0,16955.01,0.0,0.18787,0.0
Alpine,Pasture,2009,4.52,3823.0,17295.25,0.0,0.24696,0.0
Alpine,Pasture,2010,4.19,3823.0,16022.19,0.0,0.24553,0.0
Alpine,Pasture,2011,2.5,2063.0,5147.66,0.0,0.24141,0.0
Alpine,Pasture,2012,3.29,2063.0,6783.99,0.0,0.1904,0.0
Alpine,Pasture,2013,3.36,2063.0,6923.89,0.0,0.26053,0.0
Alpine,Pasture,2014,3.37,3438.0,11575.86,0.0,0.43631,0.0
Alpine,Pasture,2015,3.0,3438.0,10323.52,0.0,0.42101,0.0
Alpine,Pasture,2016,3.4,2529.0,8598.6,0.0,0.46725,0.0
Alpine,Pasture,2017,3.12,3074.27,9591.72,0.0,0.60868,0.0
Alpine,Pasture,2018,3.98,2623.95,10443.32,0.0,0.64483,0.0
Alpine,Pasture,2019,3.39,3550.57,12036.43,0.0,0.63704,0.0
Alpine,Pasture,2020,4.03,3498.55,14099.16,0.0,0.63167,0.0
Alpine,Truck Crops,2016,3.7,2.0,7.4,,,
Alpine,Truck Crops,2017,3.37,1.8,6.07,,,
Alpine,Truck Crops,2018,3.97,1.8,7.15,,,
Alpine,Truck Crops,2019,3.56,1.8,6.41,,,
Alpine,Truck Crops,2020,4.13,1.8,7.43,,,
Amador,Alfalfa,1998,3.19,400.0,1275.2,177.74,0.46287,1066.46
Amador,Alfalfa,1999,4.35,400.0,1739.2,191.07,0.49753,1146.44
Amador,Alfalfa,2000,4.35,400.0,1739.2,145.19,0.25786,580.76
Amador,Alfalfa,2001,4.64,500.0,2319.0,143.66,0.46977,919.42
Amador,Alfalfa,2002,4.39,534.0,2341.59,139.9,0.42014,769.48
Amador,Alfalfa,2003,4.18,506.0,2114.57,132.97,0.44079,851.02
Amador,Alfalfa,2004,4.92,479.0,2357.64,145.46,0.44905,916.38
Amador,Alfalfa,2005,3.41,456.0,1553.14,151.05,0.43034,921.38
Amador,Alfalfa,2006,3.92,470.0,1841.93,167.07,0.41784,868.76
Amador,Alfalfa,2007,4.51,370.0,1667.22,194.34,0.49342,1302.08
Amador,Alfalfa,2008,4.84,282.0,1365.16,263.01,0.50918,1762.14
Amador,Alfalfa,2009,4.2,444.0,1866.58,158.07,0.44557,981.58
Amador,Alfalfa,2010,3.51,359.0,1260.45,163.72,0.34217,931.57
Amador,Alfalfa,2011,3.33,282.0,939.06,307.45,0.53804,1909.28
Amador,Alfalfa,2012,3.92,384.0,1505.28,292.05,0.63084,1644.26
Amador,Alfalfa,2013,4.2,299.0,1255.8,345.62,0.66706,2229.27
Amador,Alfalfa,2014,4.28,451.0,1930.28,348.29,1.03094,2284.77
Amador,Alfalfa,2015,4.57,614.0,2805.98,257.73,1.04381,1701.0
Amador,Alfalfa,2016,4.83,849.0,4100.67,185.58,0.70334,1111.6
Amador,Alfalfa,2017,4.02,529.42,2127.85,219.95,0.54769,1537.48
Amador,Alfalfa,2018,4.14,463.75,1922.0,239.26,2.53609,1921.26
Amador,Alfalfa,2019,4.11,502.45,2065.07,260.93,2.02739,1690.81
Amador,Alfalfa,2020,4.56,664.42,3029.76,294.19,1.47979,2059.35
Amador,Citrus & Subtropical,2008,3.42,10.0,34.19,,,
Amador,Citrus & Subtropical,2009,3.0,11.0,32.98,,,
Amador,Citrus & Subtropical,2011,2.09,17.0,35.52,,,
Amador,Citrus & Subtropical,2012,2.59,17.0,43.99,,,
Amador,Citrus & Subtropical,2013,2.95,17.0,50.07,,,
Amador,Citrus & Subtropical,2014,2.99,20.0,59.76,,,
Amador,Citrus & Subtropical,2015,2.78,20.0,55.51,,,
Amador,Citrus & Subtropical,2016,2.72,29.0,78.85,,,
Amador,Citrus & Subtropical,2017,2.37,31.16,73.98,,,
Amador,Citrus & Subtropical,2018,2.89,31.35,90.46,,,
Amador,Citrus & Subtropical,2019,2.73,2.22,6.06,,,
Amador,Citrus & Subtropical,2020,3.15,30.56,96.32,,,
Amador,Corn,1998,2.32,400.0,927.6,,,
Amador,Corn,1999,2.46,300.0,739.2,,,
Amador,Corn,2000,2.32,300.0,695.7,,,
Amador,Corn,2001,2.75,400.0,1101.6,,,
Amador,Corn,2002,2.57,250.0,643.0,,,
Amador,Corn,2003,2.5,74.0,185.0,,,
Amador,Corn,2004,2.71,83.0,225.26,,,
Amador,Corn,2011,2.37,85.0,201.34,,,
Amador,Corn,2012,2.67,85.0,226.67,,,
Amador,Corn,2013,2.65,43.0,113.83,,,
Amador,Corn,2014,2.65,43.0,114.05,,,
Amador,Corn,2015,2.63,43.0,113.18,,,
Amador,Corn,2016,4.07,42.0,170.88,,,
Amador,Corn,2017,3.07,80.68,247.42,,,
Amador,Corn,2019,2.7,78.47,211.87,,,
Amador,Corn,2020,2.87,2.21,6.34,,,
Amador,Cucurbits,1999,1.69,100.0,169.0,,,
Amador,Cucurbits,2000,1.55,100.0,154.9,,,
Amador,Cucurbits,2001,2.11,100.0,211.3,,,
Amador,Cucurbits,2002,1.8,29.0,52.32,,,
Amador,Cucurbits,2003,1.62,29.0,46.84,,,
Amador,Cucurbits,2004,2.01,29.0,58.17,,,
Amador,Cucurbits,2005,1.29,29.0,37.53,,,
Amador,Grain,1998,0.13,600.0,79.8,177.74,0.39726,888.72
Amador,Grain,1999,0.13,500.0,66.5,124.93,0.2143,624.66
Amador,Grain,2000,0.4,500.0,200.0,123.41,0.21169,617.06
Amador,Grain,2001,0.53,500.0,266.5,119.24,0.25945,643.88
Amador,Grain,2002,0.41,580.0,235.48,157.04,0.25597,895.11
Amador,Grain,2003,0.53,470.0,248.63,173.84,0.08431,992.62
Amador,Grain,2004,0.55,545.0,298.12,123.13,0.06785,714.17
Amador,Grain,2005,0.06,648.0,40.82,,,
Amador,Grain,2006,0.12,720.0,84.24,,,
Amador,Grain,2007,0.44,942.0,412.6,,,
Amador,Grain,2008,0.78,646.0,506.46,,,
Amador,Grain,2009,0.3,709.0,213.41,,,
Amador,Grain,2010,0.15,758.0,115.22,,,
Amador,Grain,2016,0.47,1061.0,496.97,,,
Amador,Grain,2017,0.15,1106.31,160.53,,,
Amador,Grain,2018,0.37,957.45,357.1,,,
Amador,Grain,2019,0.36,683.43,246.03,,,
Amador,Grain,2020,0.6,1534.76,923.24,,,
Amador,Multi-Crops,2019,0.0,156.94,0.0,,,
Amador,Onions & Garlic,2002,1.57,23.0,36.04,,,
Amador,Onions & Garlic,2003,1.54,23.0,35.44,,,
Amador,Onions & Garlic,2004,2.01,23.0,46.12,,,
Amador,Onions & Garlic,2005,0.86,23.0,19.87,,,
Amador,Other Deciduous,1998,2.71,300.0,812.3,0.0,0.13035,0.0
Amador,Other Deciduous,1998,2.71,300.0,812.3,1303.46,0.10561,182.48
Amador,Other Deciduous,1999,4.06,300.0,1219.2,0.0,0.13507,0.0
Amador,Other Deciduous,1999,4.06,300.0,1219.2,1087.65,0.41551,826.62
Amador,Other Deciduous,2000,3.82,300.0,1146.3,0.0,0.12704,0.0
Amador,Other Deciduous,2000,3.82,300.0,1146.3,1422.86,0.30592,654.52
Amador,Other Deciduous,2001,4.03,200.0,806.8,0.0,0.05861,0.0
Amador,Other Deciduous,2001,4.03,200.0,806.8,1350.4,0.64288,1471.94
Amador,Other Deciduous,2002,4.1,209.0,857.81,0.0,0.2297,0.0
Amador,Other Deciduous,2002,4.1,209.0,857.81,1427.6,0.60959,1427.6
Amador,Other Deciduous,2003,3.6,225.0,809.65,0.0,0.03918,0.0
Amador,Other Deciduous,2003,3.6,225.0,809.65,1244.85,0.3859,821.6
Amador,Other Deciduous,2004,4.5,195.0,877.38,0.0,0.0554,0.0
Amador,Other Deciduous,2004,4.5,195.0,877.38,1300.07,0.23921,598.03
Amador,Other Deciduous,2005,3.2,193.0,618.3,0.0,0.74503,0.0
Amador,Other Deciduous,2005,3.2,193.0,618.3,1379.78,0.13798,358.74
Amador,Other Deciduous,2006,3.7,440.0,1627.42,0.0,0.74359,0.0
Amador,Other Deciduous,2006,3.7,440.0,1627.42,1437.38,0.30904,704.32
Amador,Other Deciduous,2007,4.08,173.0,706.42,0.0,0.93566,0.0
Amador,Other Deciduous,2007,4.08,173.0,706.42,1926.74,0.27552,789.96
Amador,Other Deciduous,2008,4.69,180.0,843.4,0.0,0.0188,0.0
Amador,Other Deciduous,2008,4.69,180.0,843.4,1539.96,0.25255,769.98
Amador,Other Deciduous,2009,3.93,161.0,632.23,0.0,0.02384,0.0
Amador,Other Deciduous,2009,3.93,161.0,632.23,1920.66,0.19783,672.23
Amador,Other Deciduous,2010,2.73,170.0,464.03,0.0,0.02638,0.0
Amador,Other Deciduous,2010,2.73,170.0,464.03,1908.77,0.1737,591.72
Amador,Other Deciduous,2011,3.6,295.0,1063.46,0.0,0.01605,0.0
Amador,Other Deciduous,2011,3.6,295.0,1063.46,3097.72,0.30048,1022.25
Amador,Other Deciduous,2012,3.82,306.0,1168.29,0.0,0.13201,0.0
Amador,Other Deciduous,2012,3.82,306.0,1168.29,2686.47,0.27671,1020.86
Amador,Other Deciduous,2013,4.13,190.0,785.18,0.0,0.17998,0.0
Amador,Other Deciduous,2013,4.13,190.0,785.18,4261.8,0.43044,2940.64
Amador,Other Deciduous,2014,4.1,319.0,1308.78,0.0,0.21566,0.0
Amador,Other Deciduous,2014,4.1,319.0,1308.78,5102.36,0.4388,1836.85
Amador,Other Deciduous,2015,4.23,254.0,1073.86,0.0,0.37866,0.0
Amador,Other Deciduous,2015,4.23,254.0,1073.86,2639.49,0.22172,1504.51
Amador,Other Deciduous,2016,3.65,361.0,1316.76,0.0,0.61558,0.0
Amador,Other Deciduous,2016,3.65,361.0,1316.76,2924.43,0.2398,1579.19
Amador,Other Deciduous,2017,3.31,407.31,1348.25,0.0,1.92362,0.0
Amador,Other Deciduous,2017,3.31,407.31,1348.25,2648.88,0.54037,4503.1
Amador,Other Deciduous,2018,3.95,337.21,1332.79,0.0,2.19746,0.0
Amador,Other Deciduous,2018,3.95,337.21,1332.79,1081.42,0.36985,1622.12
Amador,Other Deciduous,2019,2.76,186.59,515.71,0.0,0.13642,0.0
Amador,Other Deciduous,2019,2.76,186.59,515.71,1754.61,0.67026,3070.57
Amador,Other Deciduous,2020,3.27,482.23,1574.58,0.0,0.77753,0.0
Amador,Other Deciduous,2020,3.27,482.23,1574.58,1880.97,0.39877,1880.97
Amador,Other Field Crops,1998,2.39,100.0,238.8,,,
Amador,Other Field Crops,2002,3.24,31.0,100.32,,,
Amador,Other Field Crops,2003,2.98,26.0,77.43,,,
Amador,Other Field Crops,2004,3.52,523.0,1839.39,,,
Amador,Other Field Crops,2005,2.82,76.0,214.32,,,
Amador,Other Field Crops,2006,3.14,97.0,304.29,,,
Amador,Other Field Crops,2007,3.26,169.0,551.62,,,
Amador,Other Field Crops,2008,3.5,354.0,1237.94,,,
Amador,Other Field Crops,2009,3.11,304.0,944.22,,,
Amador,Other Field Crops,2010,2.7,247.0,667.89,,,
